['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_10_seed2_best.controller', '5', '20', [0.25786, 0.674719, 0.980702]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_10_seed2_best.controller', '6', '20', [0.262458, 0.668652, 0.980955]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_10_seed2_best.controller', '7', '20', [0.244251, 0.689572, 0.980377]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_10_seed2_best.controller', '8', '20', [0.232529, 0.677798, 0.971487]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_10_seed2_best.controller', '9', '20', [0.238918, 0.680277, 0.978286]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_10_seed2_best.controller', '10', '20', [0.250984, 0.673656, 0.979878]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_10_seed2_best.controller', '11', '20', [0.262027, 0.666542, 0.980869]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_10_seed2_best.controller', '12', '20', [0.259756, 0.66884, 0.980768]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_11_seed2_best.controller', '1', '20', [0.169966, 0.713663, 0.589807]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_11_seed2_best.controller', '2', '20', [0.169966, 0.713663, 0.589807]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_11_seed2_best.controller', '3', '20', [0.17683, 0.737162, 0.615281]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_11_seed2_best.controller', '4', '20', [0.171147, 0.717137, 0.591639]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_11_seed2_best.controller', '5', '20', [0.165168, 0.70379, 0.590738]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_11_seed2_best.controller', '6', '20', [0.170262, 0.715107, 0.590093]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_11_seed2_best.controller', '7', '20', [0.116223, 0.581275, 0.605371]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_11_seed2_best.controller', '8', '20', [0.134593, 0.604647, 0.561493]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_11_seed2_best.controller', '9', '20', [0.13098, 0.603729, 0.579347]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_11_seed2_best.controller', '10', '20', [0.151848, 0.663134, 0.584514]]
